referencje;kukurydza;burakC;rzepakO;jeczmienO;lucerna;trawy;pszenicaO;TUZ;zytoO;pszenicaJ;rzepikO;pszenzytoO;jeczmienJ;ziemniak;owies;TotalRow
kukurydza;67.0;19.0;6.0;36.0;100.0;55.0;11.0;10.0;3.0;23.0;0.0;1.0;44.0;26.0;1.0;402.0
burakC;12.0;8.0;3.0;19.0;2.0;21.0;5.0;9.0;3.0;12.0;1.0;0.0;18.0;7.0;0.0;120.0
rzepakO;2.0;4.0;34.0;15.0;0.0;43.0;0.0;3.0;11.0;1.0;0.0;0.0;6.0;1.0;1.0;121.0
jeczmienO;2.0;2.0;1.0;8.0;2.0;5.0;0.0;2.0;0.0;62.0;0.0;1.0;55.0;0.0;7.0;147.0
lucerna;2.0;18.0;1.0;2.0;1.0;10.0;0.0;3.0;0.0;2.0;2.0;0.0;1.0;11.0;0.0;53.0
trawy;2.0;13.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;2.0;1.0;4.0;6.0;22.0;0.0;54.0
pszenicaO;20.0;9.0;6.0;13.0;32.0;11.0;11.0;1.0;2.0;96.0;0.0;4.0;75.0;8.0;0.0;288.0
TUZ;2.0;35.0;0.0;0.0;0.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;1.0;248.0;0.0;291.0
zytoO;3.0;2.0;0.0;10.0;2.0;1.0;2.0;2.0;0.0;33.0;0.0;0.0;52.0;4.0;6.0;117.0
pszenicaJ;1.0;3.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;8.0
rzepikO;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
pszenzytoO;10.0;4.0;1.0;12.0;23.0;12.0;6.0;3.0;1.0;153.0;0.0;2.0;150.0;4.0;21.0;402.0
jeczmienJ;14.0;9.0;3.0;13.0;48.0;11.0;4.0;4.0;1.0;4.0;0.0;0.0;25.0;5.0;0.0;141.0
ziemniak;2.0;0.0;1.0;2.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0
owies;2.0;2.0;1.0;7.0;2.0;7.0;3.0;0.0;0.0;1.0;1.0;0.0;3.0;3.0;0.0;32.0
TotalKol;141.0;128.0;58.0;140.0;213.0;183.0;45.0;43.0;21.0;390.0;5.0;12.0;436.0;339.0;36.0;2190.0
