true;kukurydza;burakC;rzepakO;jeczmienO;lucerna;trawy;pszenicaO;TUZ;zytoO;pszenicaJ;rzepikO;pszenzytoO;jeczmienJ;ziemniak;owies;sumRow
kukurydza;67;19;6;36;100;55;11;10;3;23;0;1;44;26;1;402
burakC;12;8;3;19;2;21;5;9;3;12;1;0;18;7;0;120
rzepakO;2;4;34;15;0;43;0;3;11;1;0;0;6;1;1;121
jeczmienO;2;2;1;8;2;5;0;2;0;62;0;1;55;0;7;147
lucerna;2;18;1;2;1;10;0;3;0;2;2;0;1;11;0;53
trawy;2;13;0;1;1;1;0;1;0;2;1;4;6;22;0;54
pszenicaO;20;9;6;13;32;11;11;1;2;96;0;4;75;8;0;288
TUZ;2;35;0;0;0;0;1;4;0;0;0;0;1;248;0;291
zytoO;3;2;0;10;2;1;2;2;0;33;0;0;52;4;6;117
pszenicaJ;1;3;0;0;0;0;2;1;0;1;0;0;0;0;0;8
rzepikO;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;3
pszenzytoO;10;4;1;12;23;12;6;3;1;153;0;2;150;4;21;402
jeczmienJ;14;9;3;13;48;11;4;4;1;4;0;0;25;5;0;141
ziemniak;2;0;1;2;0;6;0;0;0;0;0;0;0;0;0;11
owies;2;2;1;7;2;7;3;0;0;1;1;0;3;3;0;32
sumKol;141;128;58;140;213;183;45;43;21;390;5;12;436;339;36;2190
