;acc;ppv;tpr;tnr;npv;fnr;fpr;fdr;foRate;ts;mcc
kukurydza;0.813242;0.4751773;0.1666667;0.958613;0.8365056;0.8333333;0.041387;0.5248227;0.1634944;0.1407563;0.1976045
burakC;0.8940639;0.0625;0.0666667;0.942029;0.9456838;0.9333333;0.057971;0.9375;0.0543162;0.0333333;0.0084358
rzepakO;0.9493151;0.5862069;0.2809917;0.9884002;0.9591932;0.7190083;0.0115998;0.4137931;0.0408068;0.2344828;0.3833098
jeczmienO;0.8762557;0.0571429;0.0544218;0.9353891;0.9321951;0.9455782;0.0646109;0.9428571;0.0678049;0.0286738;-0.0104229
lucerna;0.8794521;0.0046948;0.0188679;0.9007955;0.9736975;0.9811321;0.0992045;0.9953052;0.0263025;0.0037736;-0.0416639
trawy;0.8926941;0.0054645;0.0185185;0.914794;0.9735924;0.9814815;0.085206;0.9945355;0.0264076;0.0042373;-0.0373717
pszenicaO;0.8579909;0.2444444;0.0381944;0.9821241;0.8708625;0.9618056;0.0178759;0.7555556;0.1291375;0.0341615;0.0484032
TUZ;0.8511416;0.0930233;0.0137457;0.9794629;0.8663251;0.9862543;0.0205371;0.9069767;0.1336749;0.0121212;-0.0166157
zytoO;0.9369863;0.0;0.0;0.9898698;0.9460581;1.0;0.0101302;1.0;0.0539419;0.0;-0.0233762
pszenicaJ;0.8191781;0.0025641;0.125;0.8217232;0.9961111;0.875;0.1782768;0.9974359;0.0038889;0.0025189;-0.0084012
rzepikO;0.996347;0.0;0.0;0.9977138;0.998627;1.0;0.0022862;1.0;0.001373;0.0;-0.0017717
pszenzytoO;0.8127854;0.1666667;0.0049751;0.9944072;0.8163453;0.9950249;0.0055928;0.8333333;0.1836547;0.0048544;-0.0032394
jeczmienJ;0.7593607;0.0573394;0.177305;0.7994143;0.9338655;0.822695;0.2005857;0.9426606;0.0661345;0.0452899;-0.0143093
ziemniak;0.8401826;0.0;0.0;0.844424;0.9940573;1.0;0.155576;1.0;0.0059427;0.0;-0.0304064
owies;0.9689498;0.0;0.0;0.9833179;0.9851439;1.0;0.0166821;1.0;0.0148561;0.0;-0.0157426
